호선,환승역명,환승노선,환승거리(m),환승소요시간(초)
5,강동,5호선,19,0분16초
2,교대,3호선,75,1분3초
3,교대,2호선,75,1분3초
5,까치산,2호선,17,0분14초
1,동대문,4호선,194,2분42초
4,동대문,1호선,194,2분42초
2,동대문역사문화공원,4호선,45,0분38초
2,동대문역사문화공원,5호선,234,3분15초
4,동대문역사문화공원,2호선,45,0분38초
4,동대문역사문화공원,5호선,107,1분29초
5,동대문역사문화공원,2호선,234,3분15초
5,동대문역사문화공원,4호선,107,1분29초
2,사당,4호선,74,1분2초
4,사당,2호선,74,1분2초
4,서울역,1호선,159,2분13초
1,서울역,4호선,159,2분13초
2,성수,2호선,23,0분19초
1,시청,2호선,101,1분24초
1,시청,1호선,101,1분24초
1,신길,5호선,242,3분22초
5,신길,1호선,242,3분22초
2,신도림,1호선,81,1분8초
2,신도림,2호선,81,1분8초
1,신설동,2호선,159,2분13초
2,신설동,1호선,159,2분13초
2,영등포구청,5호선,110,1분32초
5,영등포구청,2호선,110,1분32초
3,오금,5호선,65,0분54초
5,오금,3호선,65,0분54초
2,왕십리,5호선,86,1분12초
5,왕십리,2호선,86,1분12초
2,을지로3가,3호선,149,2분4초
3,을지로3가,2호선,149,2분4초
2,을지로4가,5호선,77,1분4초
5,을지로4가,2호선,77,1분4초
1,종로3가,3호선,118,1분38초
1,종로3가,5호선,312,4분20초
3,종로3가,1호선,118,1분38초
3,종로3가,5호선,117,1분38초
5,종로3가,1호선,312,4분20초
5,종로3가,3호선,117,1분38초
4,창동,1호선,84,1분10초
1,창동,4호선,84,1분10초
3,충무로,4호선,17,0분14초
4,충무로,3호선,17,0분14초
2,충정로,5호선,212,2분57초
5,충정로,2호선,212,2분57초
,,,,
,구로,,,
,금천구청,,,
1,금정,4,,0
4,금정,1,,0
,병점,,,
